,温度,装料方式,Co,SiO2,HAP,乙醇浓度,乙醇转化率,乙烯选择性,C4烯烃选择性,乙醛选择性,碳数为4-12脂肪醇选择性,甲基苯甲醛和甲基苯甲醇选择性,其他生成物的选择性
0,523.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,2.7999999999999996e-08,0.0206716944958221,0.011699999999999999,0.34049999999999997,0.0241,0.5259,0.0,0.0978
1,548.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,2.7999999999999996e-08,0.058517209865373995,0.0163,0.3743,0.014199999999999999,0.5321,0.0,0.06309999999999999
2,573.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,2.7999999999999996e-08,0.149688914921879,0.0302,0.4694,0.0471,0.35159999999999997,0.01,0.0917
3,598.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,2.7999999999999996e-08,0.196813590966625,0.0797,0.49700000000000005,0.1469,0.1516,0.0213,0.1035
4,623.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,2.7999999999999996e-08,0.36801016971267997,0.1246,0.4721,0.1866,0.0922,0.0169,0.1076
5,523.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,2.7999999999999996e-08,0.046029972348902895,0.0060999999999999995,0.1807,0.009399999999999999,0.7299,0.0,0.0739
6,548.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,2.7999999999999996e-08,0.171955389078373,0.0051,0.1728,0.0143,0.7262000000000001,0.0,0.0816
7,573.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,2.7999999999999996e-08,0.38922245304993197,0.0085,0.196,0.022099999999999998,0.675,0.0,0.0984
8,598.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,2.7999999999999996e-08,0.563824602331247,0.0143,0.3062,0.0379,0.5121,0.0,0.1295
9,623.15,0,3.921568627450981e-06,0.00019607843137254904,0.0002,2.7999999999999996e-08,0.678792957456246,0.0276,0.391,0.042,0.36920000000000003,0.0187,0.1515
10,523.15,0,1.9801980198019803e-06,0.00019801980198019803,0.0002,1.5e-08,0.096693729570379,0.0013,0.055,0.0123,0.8509,0.0397,0.0408
